root,Phylum,Class,Order,Family,Genus,Species
root,Chloroflexota,Dehalococcoidia,UBA1151,UBA1151,GCA-2730555,Genus_GCA-2730555
root,Chloroflexota,Dehalococcoidia,SAR202,UBA826,UBA11996,UBA11996 sp002708495
root,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA2979,Genus_UBA2979
root,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA2979,Genus_UBA2979
root,Chloroflexota,Dehalococcoidia,UBA2979,UBA2979,UBA2979,Genus_UBA2979
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,UBA9611,Genus_UBA9611
root,Chloroflexota,Dehalococcoidia,SAR202,Order_SAR202,Order_SAR202,Order_SAR202
root,Chloroflexota,Dehalococcoidia,SAR202,Order_SAR202,Order_SAR202,Order_SAR202
root,Chloroflexota,Dehalococcoidia,SAR202,Order_SAR202,Order_SAR202,Order_SAR202
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Genus_Nitrosopelagicus
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Genus_Nitrosopelagicus
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Genus_Nitrosopelagicus
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Genus_Nitrosopelagicus
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
root,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus sp002690535
