Bin,Sample,Year,Watermass
67_bin.29,67,2017,STW
67_bin.3,67,2017,STW
67_bin.36,67,2017,STW
67_bin.37,67,2017,STW
67_bin.5,67,2017,STW
67_bin.7,67,2017,STW
68_bin.10,68,2017,SAW
68_bin.11,68,2017,SAW
68_bin.13,68,2017,SAW
68_bin.15,68,2017,SAW
68_bin.16,68,2017,SAW
68_bin.18,68,2017,SAW
68_bin.19,68,2017,SAW
68_bin.22,68,2017,SAW
68_bin.24,68,2017,SAW
68_bin.28,68,2017,SAW
68_bin.29,68,2017,SAW
68_bin.33,68,2017,SAW
68_bin.34,68,2017,SAW
69_bin.11,69,2017,Deep
69_bin.12,69,2017,Deep
69_bin.13,69,2017,Deep
69_bin.14,69,2017,Deep
69_bin.16,69,2017,Deep
69_bin.2,69,2017,Deep
69_bin.22,69,2017,Deep
69_bin.23,69,2017,Deep
69_bin.25,69,2017,Deep
69_bin.27,69,2017,Deep
69_bin.7,69,2017,Deep
69_bin.9,69,2017,Deep
70_bin.13,70,2018,STW
70_bin.14,70,2018,STW
70_bin.15,70,2018,STW
70_bin.18,70,2018,STW
70_bin.27,70,2018,STW
70_bin.3,70,2018,STW
70_bin.31,70,2018,STW
70_bin.32,70,2018,STW
70_bin.6,70,2018,STW
70_bin.8,70,2018,STW
71_bin.12,71,2018,SAW
71_bin.13,71,2018,SAW
71_bin.14,71,2018,SAW
71_bin.18,71,2018,SAW
71_bin.2,71,2018,SAW
71_bin.20,71,2018,SAW
71_bin.4,71,2018,SAW
71_bin.6,71,2018,SAW
71_bin.8,71,2018,SAW
71_bin.9,71,2018,SAW
72_bin.1,72,2018,Deep
72_bin.11,72,2018,Deep
72_bin.12,72,2018,Deep
72_bin.13,72,2018,Deep
72_bin.2,72,2018,Deep
72_bin.3,72,2018,Deep
72_bin.8,72,2018,Deep
72_bin.9,72,2018,Deep
73_bin.3,73,2018,STW
73_bin.6,73,2018,STW
74_bin.1,74,2018,SAW
74_bin.10,74,2018,SAW
74_bin.11,74,2018,SAW
74_bin.13,74,2018,SAW
74_bin.14,74,2018,SAW
74_bin.17,74,2018,SAW
74_bin.2,74,2018,SAW
74_bin.21,74,2018,SAW
74_bin.28,74,2018,SAW
74_bin.29,74,2018,SAW
74_bin.3,74,2018,SAW
74_bin.4,74,2018,SAW
74_bin.5,74,2018,SAW
74_bin.7,74,2018,SAW
76_bin.16,76,2018,STW
76_bin.19,76,2018,STW
76_bin.20,76,2018,STW
76_bin.22,76,2018,STW
76_bin.26,76,2018,STW
76_bin.3,76,2018,STW
76_bin.30,76,2018,STW
