Sample Domain Phylum Class Order Family Genus Species
2 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
29 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
38 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
39 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
40 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
41 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
42 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
50 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
54 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
67 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
68 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
71 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
74 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
77 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
8 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
82 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
35 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10 SW10 sp000383735
36 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10 SW10 sp000383735
37 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10 SW10 sp000383735
7 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10 SW10 sp002323895
36 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10 SW10 sp002420315
20 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
23 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
3 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
34 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
43 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
47 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
51 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
61 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
64 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
69 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
72 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
80 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
83 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
9 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
15 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
16 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
17 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
18 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
19 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
60 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
79 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096  unclassified UBA1096
1 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096 UBA1096 sp002299785
76 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096 UBA1096 sp002299785
78 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1096 UBA1096 UBA1096 sp002299785
60 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1100 UBA1100  unclassified UBA1100
79 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1100 UBA1100  unclassified UBA1100
51 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1100 UBA1100  unclassified UBA1100
39 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae UBA5691  unclassified UBA5691
40 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae UBA5691  unclassified UBA5691
41 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae UBA5691  unclassified UBA5691
42 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae UBA5691  unclassified UBA5691
60 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae UBA5691  unclassified UBA5691
20 Bacteria Verrucomicrobiota Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria
43 Bacteria Verrucomicrobiota Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria
47 Bacteria Verrucomicrobiota Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria
61 Bacteria Verrucomicrobiota Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria
69 Bacteria Verrucomicrobiota Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria
80 Bacteria Verrucomicrobiota Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria
83 Bacteria Verrucomicrobiota Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria  unclassified Lentisphaeria
23 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1100  unclassified UBA1100  unclassified UBA1100
34 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1100  unclassified UBA1100  unclassified UBA1100
43 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1100  unclassified UBA1100  unclassified UBA1100
51 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1100  unclassified UBA1100  unclassified UBA1100
9 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales UBA1100  unclassified UBA1100  unclassified UBA1100
