bin_ID,Sample,Watermass,Phylum,cluster
74_bin.28,74,SAW,Proteobacteria,clust3
24_bin.42,24,STW,Proteobacteria,clust3
23_bin.25,23,Deep,SAR324,clust3
39_bin.4,39,SAW,Proteobacteria,clust3
80_bin.45,80,Deep,Proteobacteria,clust3
51_bin.22,51,Deep,Proteobacteria,clust3
47_bin.36,47,Deep,Proteobacteria,clust3
42_bin.32,42,SAW,Proteobacteria,clust3
78_bin.30,78,STW,Proteobacteria,clust3
36_bin.39,36,Neritic,Proteobacteria,clust3
12_bin.39,12,Neritic,Proteobacteria,clust3
42_bin.67,42,SAW,Proteobacteria,clust3
61_bin.58,61,Deep,Proteobacteria,clust3
78_bin.17,78,STW,Proteobacteria,clust3
61_bin.9,61,Deep,Proteobacteria,clust3
62_bin.19,62,STW,Proteobacteria,clust3
16_bin.24,16,SAW,Verrucomicrobiota,clust3
41_bin.62,41,SAW,Verrucomicrobiota,clust3
15_bin.13,15,Front,Proteobacteria,clust3
25_bin.30,25,STW,Proteobacteria,clust3
23_bin.16,23,Deep,Proteobacteria,clust3
41_bin.8,41,SAW,Proteobacteria,clust3
21_bin.18,21,STW,Proteobacteria,clust3
52_bin.39,52,STW,Proteobacteria,clust3
78_bin.20,78,STW,Verrucomicrobiota,clust3
37_bin.19,37,STW,Proteobacteria,clust3
5_bin.9,5,SAW,Proteobacteria,clust3
36_bin.86,36,Neritic,Verrucomicrobiota,clust3
3_bin.3,3,Deep,Proteobacteria,clust3
69_bin.14,69,Deep,Proteobacteria,clust3
39_bin.13,39,SAW,Verrucomicrobiota,clust3
43_bin.23,43,Deep,Proteobacteria,clust3
80_bin.27,80,Deep,Proteobacteria,clust3
35_bin.59,35,Neritic,Proteobacteria,clust3
37_bin.48,37,STW,Proteobacteria,clust3
36_bin.90,36,Neritic,Proteobacteria,clust3
20_bin.19,20,Deep,Proteobacteria,clust3
53_bin.13,53,SAW,Proteobacteria,clust3
8_bin.15,8,SAW,Verrucomicrobiota,clust3
83_bin.1,83,Deep,Proteobacteria,clust3
69_bin.27,69,Deep,Proteobacteria,clust3
33_bin.18,33,SAW,Proteobacteria,clust3
72_bin.2,72,Deep,Proteobacteria,clust3
38_bin.34,38,Front,Proteobacteria,clust3
13_bin.18,13,STW,Proteobacteria,clust3
19_bin.20,19,SAW,Verrucomicrobiota,clust3
41_bin.2,41,SAW,Proteobacteria,clust3
17_bin.14,17,SAW,Verrucomicrobiota,clust3
23_bin.30,23,Deep,Proteobacteria,clust3
80_bin.1,80,Deep,Proteobacteria,clust3
64_bin.19,64,Deep,Proteobacteria,clust3
82_bin.2,82,SAW,Proteobacteria,clust3
80_bin.15,80,Deep,Proteobacteria,clust3
21_bin.33,21,STW,Proteobacteria,clust3
77_bin.24,77,SAW,Proteobacteria,clust3
47_bin.41,47,Deep,Proteobacteria,clust3
47_bin.5,47,Deep,SAR324,clust3
7_bin.37,7,STW,Proteobacteria,clust3
71_bin.9,71,SAW,Proteobacteria,clust3
34_bin.25,34,Deep,SAR324,clust3
9_bin.21,9,Deep,Proteobacteria,clust3
80_bin.19,80,Deep,Proteobacteria,clust3
20_bin.26,20,Deep,Proteobacteria,clust3
8_bin.12,8,SAW,Proteobacteria,clust3
37_bin.31,37,STW,Proteobacteria,clust3
